Company,Investory Type,Portfolio,Category
Black Opal Ventures,Investor,"Black Opal Ventures has made 12 investments, with their latest investment being in AuthMind as part of their Seed VC - II on April 21, 2025. However, the specific list of companies currently in their active portfolio is not provided in the sources. For the most up-to-date information, you would need to visit their official website or contact them directly[3]. 

Here is a list of the companies they have invested in, but it does not specify which ones are currently active:

1. AuthMind (latest investment)[3]
2. Other 11 investments (not specified)[3]

For a comprehensive list, you should refer to their official portfolio or recent updates from Black Opal Ventures.","Black Opal Ventures invests in companies at the intersection of healthcare and technology, specifically focusing on solving the world's biggest problems in healthcare[2][4]. Their portfolio includes companies like AuthMind, which they recently invested in as part of their Seed VC - II round[3]. The specific companies in their portfolio are not listed in the provided sources, but the category of companies they invest in is clearly defined as those using technology to address healthcare issues."
Blue Nexus Ventures,Investor,"The current companies in the portfolio of Blue Nexus Ventures are not explicitly listed on the provided sources. However, Blue Nexus Ventures is described as a private equity firm that focuses on acquiring companies generating EBITDA of $2 million to $10 million, and it has recently launched its flagship Constellation Fund[1][3]. For a detailed list of their active portfolio, you would need to access their investor login or recent news updates from the company.

To get the most accurate and up-to-date information, you should visit their official website or contact them directly. The portfolio section on their website is restricted to investor login[2].","Blue Nexus Ventures primarily invests in companies transitioning from Baby Boomer ownership, focusing on upgrading and acquiring businesses in various sectors. The specific companies in their portfolio are not detailed in the provided sources, but the categories of companies they typically invest in include:

- **Baby Boomer-owned businesses**[3][5]
- **Small and mid-sized businesses**[1]

These investments aim to provide exit liquidity to transitioning owners and maintain legacies for local economies[1]."
Boro Capital,Investor,"Boro Capital's current portfolio includes the following companies:

1. **DetraPel** - Advanced materials company that manufactures sustainable coatings, which recently completed a $7.6 million Series A funding round led by Material Impact, with Boro Capital as one of the additional investors[2].

The exact list of all companies in Boro Capital's active portfolio is not fully disclosed in the provided sources, but DetraPel is confirmed as one of their investments. For a comprehensive list, further research or access to specific investment records would be necessary.",Boro Capital invests in **tech and tech-enabled startups** in their first round of institutional funding (early Seed) [1][3].
C2 Ventures,Investor,"The current companies in the active portfolio of C2 Ventures, which is an early-stage investment platform based in the US and operating around New York, are listed as follows:

- 3D Continuum
- AI Ops
- Alivo
- Altitude AI
- Approva
- Argyle
- Armilla
- Beagle Labs
- Boostr
- Condoit
- Digital Iron
- Eden
- GoodRoads
- Hank
- LaunchScience
- Medmo
- OmniX Labs
- Otis
- Rens
- Snow Owl
- StepOne Tech
- UptimeHealth

These companies are mentioned in the portfolio section of the C2 Ventures website[1].","C2 Ventures invests in a variety of early-stage companies, including those in the following categories:

- **AI and Machine Learning**: 3D Continuum, Altitude AI, Armilla, Magellan AI, Noteworthy AI, and others.
- **Robotics and Automation**: Civ Robotics, Gripp, and others.
- **Healthcare Technology**: UptimeHealth, Medmo, and others.
- **Software and SaaS**: Approva, Boostr, Condoit, Digital Iron, Eden, GoodRoads, Hank, LaunchScience, OmniX Labs, Otis, Rens, Snow Owl, StepOne Tech, and others.
- **Fintech and Financial Services**: Lease Up, OneShop, and others.
- **Cybersecurity and Data Protection**: BriefCatch, Copper, Epallet, Impilo, and others.
- **Real Estate Technology**: Unreal Estate and others.
- **General Technology and Innovation**: Alivo, Argyle, Beam, Blutag, EZE, Eskuad, Kambr, Otari, Phalanx, Rigorous, Steelhead, Tarform, Wats, and others.

These categories are based on the companies listed in the portfolio provided by C2 Ventures[1]."
Camford Capital,Investor,"Camford Capital is based in Menlo Park, California, not New York. However, here are the companies currently in their active portfolio as per the available information:

- **ChainOpera**
- **CG Oncology**
- **SURGE Therapeutics**
- **TensorOpera AI**
- **Lavita**

These companies are listed on Dealroom.co, which tracks startup and scaleup investments[5].","Camford Capital primarily invests in early-stage venture companies, particularly in the financial technology and biotechnology sectors. The specific companies in their portfolio include:

- **Financial Technology:** Fleak, Firefly, and FedML[1][2][3]
- **Biotechnology:** Totus Medicines, CG Oncology, and SURGE Therapeutics[3][5]

These categories indicate the main focus areas of Camford Capital's investments."
Catalytic Impact Foundation,Investor,"The Catalytic Impact Foundation (CIF) does not publicly disclose a comprehensive list of its current portfolio companies. However, it is mentioned that CIF has funded nearly 60 companies to date, primarily in the spaces of children’s health, women’s health, brain health, rare disease, aging, and health equity[5]. Specific companies are not listed in the provided sources.

For the most up-to-date information on CIF's portfolio, you would need to visit their official website or contact them directly. The CIF website does provide updates on their portfolio companies as they achieve scientific, commercial, and regulatory milestones[2].","The Catalytic Impact Foundation invests in companies within the following categories:

- **Women's Health**
- **Brain Health**
- **Pediatric Rare Disease**
- **Pediatric Health**
- **Aging**
- **Health Equity**

These categories are mentioned in the foundation's focus areas and investment strategies[1][5]."
Centre Street Partners,Investor,"Centre Street Partners' current portfolio includes the following companies, as listed on their latest activity date (23.01.2025):

1. **ucr.bot** - No website provided
2. **Bounced In...** - bouncelife.com
3. **Polytrial** - polytrial.com
4. **WeatherMin...** - weathermind.ai
5. **OffDeal** - offdeal.io
6. **Celery** - celeryway.com
7. **Solideon** - solideon.com
8. **Employee S...** - wayside.io
9. **Bridge Def...** - bridge-defense.com
10. **AI** - jerichosecurity.com (raised $3M) [4]

These companies are primarily technology-focused startups, indicating a shift in Centre Street Partners' investment strategy towards frontier technology companies, as mentioned in their profile[1].","Centre Street Partners primarily invests in the following categories of companies:

- **AI & Deep Tech**
- **Software & Apps**
- **Fintech & Financial services**
- **Healthtech & Wellness**
- **E-commerce & Retail**
- **Real Estate & Proptech**
- **Hardware, Robotics & IoT**
- **Transportation & Mobility**
- **Pharma**
- **Other**

These categories are based on the information provided in the sources, particularly in [4] and [5]."
Cerberus Ventures,Investor,"Cerberus Ventures is a specific entity within the broader Cerberus Capital Management, which focuses on early-stage investments in critical technology areas. However, Cerberus Ventures itself does not have a publicly disclosed list of active portfolio companies. The information provided about Cerberus Ventures is limited to its mission and team, without specifying the companies it currently invests in[1].

For a comprehensive list of active portfolio companies under Cerberus Capital Management, which includes Cerberus Ventures, you would need to refer to the latest SEC filings or other financial reports. However, based on the information available, here are the top holdings of Cerberus Capital Management, L.P.:

- **Albertsons Companies, Inc. (US:ACI)**
- **Frontier Communications Parent, Inc. (US:FYBR)**
- **Altice USA, Inc. (US:ATUS)**
- **comScore, Inc. (US:SCOR)**

These holdings are based on the latest disclosed information and do not necessarily reflect the specific focus areas of Cerberus Ventures[4].","Cerberus Ventures, established in 2023, focuses on investing in early-stage companies in sectors important to both government and innovators, particularly in areas like energy, food, healthcare, security, and productivity. The specific companies in their portfolio are not detailed in the provided sources. However, Cerberus Ventures is known to invest in critical technology areas such as fusion, quantum, artificial intelligence, and synthetic biology[1].

For a comprehensive understanding of Cerberus Capital Management's broader portfolio, which includes Cerberus Ventures, the categories of companies they invest in are:
- Financial services
- Healthcare
- Consumer & retail
- Government services
- Manufacturing & distribution
- Technology & telecommunications
- Building products
- Energy & natural resources
- Apparel
- Paper, packaging & printing
- Transportation
- Commercial services
- Industrial & automotive
- Real estate
- Travel & leisure
- Weaponry[5]. 

However, the specific companies under Cerberus Ventures are not listed."
"Cerneos Group, LLC",Industry/Strategic,"The Cerneos Group, LLC does not publicly disclose the specific companies in their active portfolio. However, they provide consulting services to various biotech, device, diagnostic, and pharma companies, including Insulet Corporation, Long Island University, and those involved in maternal microbiome clinical trials[1]. 

For a comprehensive list of companies they work with, you would need to refer to their client list or specific case studies, which are not provided in the available sources.","Cerneos Group, LLC primarily invests in biotech, device, diagnostic, and pharmaceutical companies. Their services include regulatory strategy, submission development, and clinical trial coordination for these industries[1][3]. 

### Categories of Companies They Invest In:
- **Biotech**
- **Medical Devices**
- **Diagnistics**
- **Pharmaceuticals**"
Cherryrock Capital,Investor,"Cherryrock Capital's current portfolio includes the following companies:

1. **Certiverse** - Invested in as part of their Series A on March 24, 2025[3].
2. **Coactive AI** - Co-led the Series B investment alongside Emerson Collective, with other investors including a16z and Bessemer[2].
3. **Vitable** - Invested in the Series A round alongside Citi Impact Fund and First Round Capital[2].

These are the companies mentioned in the available search results as being part of Cherryrock Capital's active portfolio.","Cherryrock Capital focuses on investing in the following categories of companies:

- **Technology**
- **Healthcare**
- **Consumer Goods**

Specific companies in their portfolio include:
- **AI company Coactive AI**
- **YC health company Vitable**
- **Certiverse (as part of their Series A)**

These investments are primarily in the technology and healthcare sectors[1][2][3]."
Computerlaw Group Llp,Investor,"The provided sources do not specify the current companies in the portfolio of Computerlaw Group LLP. The information available only mentions that Computerlaw Group LLP provides high-quality legal advocacy to high-tech companies in Silicon Valley, California, but it does not list specific companies in their active portfolio[2]. Therefore, there is no list of companies currently in their active portfolio available from the given sources.","Computerlaw Group LLP is an intellectual property law firm, not an investor. It provides legal services to high-tech companies, including those in the computer and other high-tech industries, but it does not invest in companies. Therefore, there are no companies in its portfolio to identify[2]."
Convergent Ventures,Investor,"The current companies in the active portfolio of Convergent Ventures are not explicitly listed in the provided sources. However, the sources do provide insights into the types of companies they typically invest in and their focus areas:

- **Focus Areas**: Convergent Ventures invests in early-stage teams using science-driven technologies, particularly at the convergence of data and science in health and sustainability, and in sectors like hardware and fundamental sciences like physics, chemistry, and biology[2][3].
- **Ecosystem**: They create an ecosystem of corporates involved in the supply chains of their startup companies, working with big companies such as 3M, Pfizer, LG, Corning, and Eastman Chemical[3].

For a comprehensive list of their current portfolio companies, you would need to refer to their official portfolio page or recent updates from the company.","Convergent Ventures invests in companies at the convergence of data and science in health and sustainability, including:

- **Predictive Agriculture**: Using machine learning to track and quantify soil carbon data in real time.
- **Quantum Photonic Hardware**: For cybersecurity and quantum networking applications.
- **Infectious Disease**: Using AI, genomics, and developing the leading microbial sequence database.
- **Novel Hydrogel Platform**: Developing ADAM™, the world’s first implant for long-lasting, reversible contraception.
- **AI Training Platform**: Creating the largest and highest-fidelity AI training platform for clinical AI product developers.
- **Photonic-Electronic Design IP**: For computing, self-driving cars, industrial automation, and medtech.
- **High Performance Materials**: Sustainable composite materials for buildings, electronics, mobility, and defense.
- **On-Body Sensors and AI**: For objective, accurate musculoskeletal (MSK) diagnosis and monitoring.
- **Genetic Medicine Delivery**: Safe and efficient delivery of genetic medicines to target tissues in the body.
- **Surgical Mining**: Economic and sustainable extraction of precious and critical materials.
- **Gene Editing**: Applying LLMs to design novel base editors and gene editing enzymes for drug discovery.
- **Steam Trap Monitoring**: Connected devices for optimizing fuel consumption and improving safety in industrial plants.
- **Ultrasound Medical Devices**: Producing MRI quality data on liver health.
- **Diagnostic Testing**: For liver disease.
- **Innovative Image Sensors**: Paired with computer vision algorithms for direct data analysis.
- **Wavefront Sensor Technology**: For vision analysis and correction.

These categories reflect the diverse range of investments made by Convergent Ventures[2]."
Corner Ventures,Investor,"Corner Ventures' current portfolio companies are not explicitly listed in the provided sources. However, they have invested in over 200 companies, with notable mentions including:

- **Fabric** (a global unicorn)
- **Melio** (an EMEA unicorn)
- **Nexar** (a future unicorn)
- **AnyRoad**
- **Beewise Technologies**

For a comprehensive list of their current investments, you would need to refer to their official website or a reliable financial database[1][2].","Corner Ventures invests in companies across various categories, including:

- **Transportation**
- **Marketing**
- **Health**
- **Robotics**
- **Travel**
- **Security**
- **Legal**
- **Enterprise Software**

These categories are based on the portfolio analysis provided by Dealroom.co[3]."
Cross Ocean Ventures,Investor,"Cross Ocean Ventures does not have a specific portfolio listed for companies operating in and around New York. However, their focus areas include the Benelux, Nordics, Baltics, Switzerland, and US companies with European origins. They also consider investing in other areas such as Eastern Europe, Portugal, the UK, Balkans, Turkey, and Cyprus.

Their latest investment was in Leadsales as part of their Pre-Seed round on November 14, 2022, but this does not specify a location in New York[4].

For a comprehensive list of their current portfolio, you would need to refer to their official website or recent updates from Dealroom.co or other investment directories. However, based on the provided information, there is no specific mention of companies in their active portfolio operating in New York.","Cross Ocean Ventures primarily invests in the following categories of companies:

- **Technology**: B2B SaaS, Digital Identity, Digital Health, and other tech-related areas such as AI, blockchain, predictive analytics, and IoT[2][5].
- **Geography**: Companies from Benelux, Nordics, Baltics, Switzerland, and US companies with European origins, with a focus on expanding to the US market[2][5].

They do not specifically mention investing in companies operating in New York. Their focus is on early-stage companies with global ambitions, particularly those that can raise Series A funding from US investors within 12-24 months[1][2][5]."
DCVC Bio,Investor,"The current companies in the portfolio of DCVC Bio, as highlighted in the sources, are:

- **AbCellera**
- **Aclarity**
- **Aclima**
- **Advano**
- **Agenovir**
- **Agility Robotics**
- **AgZen**
- **AI Vivo**
- **Nilo Therapeutics**
- **Umoja**
- **Empirico**
- **MycoWorks**

These companies are mentioned in the DCVC Bio portfolio highlights and recent updates[2][3][4].","DCVC Bio invests in early stage deep tech startups in the life sciences, including therapeutics platforms, companies improving agriculture and food systems, and industrial biotechnologies[4]. 

### Categories of Companies Invested in by DCVC Bio:
- **Therapeutics Platforms**
- **Agriculture and Food Systems**
- **Industrial Biotechnologies**"
Drive Capital,Investor,"Drive Capital's current portfolio includes the following companies, although the specific list of active companies is not exhaustively detailed in the sources provided. However, here are some notable companies mentioned:

- **Duolingo**
- **Root Insurance**
- **Olive**
- **Greenlight**
- **ApplyBoard**
- **Branch** (latest investment in Series D on April 24, 2025)
- **Cofactor AI** (seed stage)
- **Vecna Robotics** (late growth)
- **Path Robotics** (late growth)
- **Droxi** (early growth)
- **Sell It9** (early growth)

For a comprehensive and up-to-date list, refer to the latest investment data from sources like CB Insights or Dealroom.co[3][5].","Drive Capital primarily invests in technology, healthcare, and consumer companies, but it is based in Columbus, Ohio, and operates in the Midwest, not specifically around New York[3]. The specific companies in their portfolio are not listed in the sources provided, but they include companies like Duolingo and Fifth Season, which are not necessarily based in New York[2]. 

For companies operating in and around New York, Drive Capital is not specifically mentioned as an investor in the sources provided. However, notable venture capital firms in New York include Thrive Capital, which has invested in companies like Stripe[4]. 

To find the exact companies in Drive Capital's portfolio, you would need to refer to their official portfolio page or recent news updates."
Ecosystem Integrity Fund,Investor,"The Ecosystem Integrity Fund's current portfolio includes the following companies:

1. **Floodbase** - $37.6m
2. **Vecmocon Technologies** - $15.5m
3. **Claros Technologies** - $27.7m
4. **ZeroAvia** - $370m
5. **Ampersand** - $26.7m

These investments are listed on Dealroom.co[2].","The Ecosystem Integrity Fund (EIF) invests in companies contributing to environmental sustainability across multiple sectors, including:

- **Renewable Energy**
- **Transportation**
- **Agriculture and Food**
- **Climate Resilience**
- **Green Chemistry**
- **Waste Reduction**
- **Efficiency**

Specifically, some of the recent investments include:
- **Floodbase** (Seed funding)
- **Claros Technologies**
- **ZeroAvia** (Series A funding)
- **Ampersand** (Series A funding)
- **Ambient Photonics** (Series A - II funding)[3][4][5]."
Enceladus Bio,Industry/Strategic,"The information provided does not specify the current companies in the active portfolio of Enceladus Bio. The only details given are that Enceladus is a biotech company focused on creating the next generation of genetic medicines, and it was first invested in 2022[1]. For the most accurate and up-to-date information, you would need to refer to Enceladus Bio's official website or recent press releases.","Enceladus Bio invests in companies in the following categories:
- **Life Sciences**
- **Healthcare**
- **Biopharma**[1]."
Energy Impact Partners,Investor,"The current companies in the portfolio of Energy Impact Partners are not explicitly listed in the provided sources. However, Energy Impact Partners has made 149 investments, and their latest investment was in Grover as part of their Bridge on July 18, 2024[4]. For a comprehensive list of their current portfolio, you would need to refer to their official portfolio or recent news updates from Energy Impact Partners.

To get the most accurate and up-to-date information, you can visit their official website or check recent news and updates from reliable sources like CB Insights[4].","Energy Impact Partners invests in companies that optimize energy consumption and improve sustainable energy generation, including those in the renewable energy sector, energy storage, and environmental monitoring[1][3][4]."
Engine Ventures,Investor,"The current companies in the portfolio of Engine Ventures include:

1. **Oso Semiconductor** - Revolutionizing Phased Array Antennas with Novel Chip Designs.
2. **Addis Energy** - Using the earth as a chemical reactor to produce clean fuels.
3. **T-robotics** - Bringing new intelligence to industrial robots.
4. **Blue Energy** - Putting nuclear plants on a learning curve with shipyard manufacturing.
5. **Predicta** - Using molecular diagnostics to transform the patient experience and unlock novel therapies.
6. **Sora Fuel** - Creating sustainable fuels from atmospheric carbon.
7. **Terragia** - Unlocking sustainable fuels with better biology.
8. **AtmosZero** - Decarbonizing industrial heat with a drop-in electrified boiler.
9. **Amide** - Rapid robotic synthesis of valuable peptides and protein structures that can’t be manufactured with cells.
10. **Anthology** - Generating diverse genomes to scale and digitalize biomanufacturing.
11. **Bexorg** - Decoding the brain’s biology to cure neurological diseases.
12. **DBOS** - A secure, resilient operating system, designed for the cloud computing era.
13. **EVOLOH** - Cheaper, sustainable electrolyzer solution enables hydrogen delivery to the world.
14. **Pascal** - A materials breakthrough to eliminate the climate impact of cooling.
15. **Matrisome Bio** - Transforming cancer therapy by targeting the extracellular matrix.
16. **ReynKo** - Applying a fundamental mathematical insight to the problem of turbulence[1][3].

These companies are actively supported by Engine Ventures in their efforts to solve significant global challenges through the convergence of breakthrough science, engineering, and leadership.","Engine Ventures invests in **Tough Tech** companies, which include:

- **Oso Semiconductor**: Revolutionizing phased array antennas with novel chip designs.
- **Addis Energy**: Using the earth as a chemical reactor to produce clean fuels.
- **T-robotics**: Bringing new intelligence to industrial robots.
- **Blue Energy**: Putting nuclear plants on a learning curve with shipyard manufacturing.
- **Predicta**: Using molecular diagnostics to transform the patient experience and unlock novel therapies.
- **Sora Fuel**: Creating sustainable fuels from atmospheric carbon.
- **Terragia**: Unlocking sustainable fuels with better biology.
- **AtmosZero**: Decarbonizing industrial heat with a drop-in electrified boiler.
- **Amide**: Rapid robotic synthesis of valuable peptides and protein structures that can’t be manufactured with cells.
- **Anthology**: Generating diverse genomes to scale and digitalize biomanufacturing.
- **Bexorg**: Decoding the brain’s biology to cure neurological diseases.
- **DBOS**: A secure, resilient operating system, designed for the cloud computing era.
- **EVOLOH**: Cheaper, sustainable electrolyzer solution enables hydrogen delivery to the world.
- **Pascal**: A materials breakthrough to eliminate the climate impact of cooling.
- **Matrisome Bio**: Transforming cancer therapy by targeting the extracellular matrix.
- **ReynKo**: Applying a fundamental mathematical insight to the problem of turbulence[1][3]."
F-Prime Capital,Investor,"F-Prime Capital's current portfolio includes the following companies:

- **Abelian Therapeutics**
- **ABK Biomedical, Inc.**
- **Acacia Pharma**
- **AlphaGen Therapeutics**
- **Alluvial** (software development company)
- **Canoe Intelligence** (Series C investment)
- **Odaseva** (Series C investment)
- **Canary Technologies** (Series C investment)

These companies are part of F-Prime's extensive portfolio, which spans various sectors including therapeutics, medtech, and health IT & services[1][5].","F-Prime Capital invests in the following categories of companies:

- **Therapeutics**
- **MedTech**
- **Health IT & services**
- **FinTech**

These categories are based on the information provided in the sources[1][2]."
